City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,udachny,66.4167,112.4,271.18,92,100,11.73,RU,1696439066
83,talpa de allende,20.3833,-104.8167,293.5,96,100,0.95,MX,1696439066
84,contamana,-7.3333,-75.0167,312.59,28,48,2.65,PE,1696439066
85,isangel,-19.55,169.2667,294.81,76,81,8.48,VU,1696439066
86,corona,33.8753,-117.5664,303.82,38,0,8.05,US,1696439067
87,new norfolk,-42.7826,147.0587,283.87,98,100,1.37,AU,1696439067
88,kyshtovka,56.555,76.6271,283.34,48,100,4.47,RU,1696439068
89,bikenibeu village,1.3673,173.1241,300.13,89,75,3.09,KI,1696439071
90,san antonio de pale,-1.4014,5.6325,298.6,85,37,4.79,GQ,1696439072
91,vorgashor,67.5833,63.95,274.54,85,100,3.37,RU,1696439072
92,mugia,43.1041,-9.2179,296.57,81,76,0.98,ES,1696439073
93,christchurch,-43.5333,172.6333,284.77,72,99,3.6,NZ,1696438818
94,punta arenas,-53.15,-70.9167,283.21,57,75,16.46,CL,1696439079
95,ketchikan,55.3422,-131.6461,282.14,100,75,0.0,US,1696438807
96,val-d'or,48.1002,-77.7828,298.2,57,20,4.12,CA,1696439080
97,geraldton,-28.7667,114.6,285.38,82,0,3.09,AU,1696438954
98,petropavlovsk-kamchatsky,53.0452,158.6483,281.2,81,40,4.02,RU,1696439080
99,arraial do cabo,-22.9661,-42.0278,302.13,78,0,10.29,BR,1696438934
100,wailua homesteads,22.0669,-159.378,295.39,94,0,3.09,US,1696439080
101,sovetskaya gavan',48.9723,140.2878,283.76,60,100,2.18,RU,1696439080
102,santiago de cao,-7.9589,-79.2392,294.22,78,0,5.66,PE,1696439081
103,consolacion del sur,22.5047,-83.5136,303.87,61,30,4.79,CU,1696439081
104,ulladulla,-35.35,150.4667,285.24,73,100,8.27,AU,1696439081
105,keflavik,64.0049,-22.5624,283.1,87,100,2.57,IS,1696439081
106,atafu village,-8.5421,-172.5159,301.3,79,100,5.01,TK,1696439081
107,badger,64.8,-147.5333,270.36,92,75,2.06,US,1696438809
108,sandnessjoen,66.0217,12.6316,279.21,65,75,4.63,NO,1696439081
109,wainwright,52.839,-110.8572,284.66,64,47,10.1,CA,1696439031
110,parola,20.8833,75.1167,298.75,66,100,2.8,IN,1696439082
